refrence,COMPANY NAME,CO.City,SOURCE COMPANY,SourceCo.City,TYPE OF TRANSACTION,MONTH,TYPE OFProducts,date,amount,currency,exporter/repExporter,country
G-BBY-0086,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,15/01/2019,24472,EURO, MONNO CORPORATION ,BANGALADESH
G-BBY-0070,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,12/1/2019,31739,EURO, NINGBO ACCU ELECTRIC DEVICES INDUSTRY CO LTD,CHINA
G-BBY-0081,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,14/01/2019,43190,EURO, NINGBO ACCU ELECTRIC DEVICES INDUSTRY CO LTD,CHINA
G-BBY-0051,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,8/1/2019,28000,EURO, NOVATEK GENERAL TRADING LLC ,"DUBAI, UAE"
G-BBY-0045,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,6/1/2019,36996,EURO, PAREX WARENHANDELSGESELLSCHAFT MBH,AUSTRIA
G-BBY-0021,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,21/01/2019,340710,AED, PHOENIX TYRES TRADING F.Z.E  ,"DUBAI, UAE"
G-BBY-0112,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,24/01/2019,2799,EURO, SAURER TECHNOLOGIES GMBH & CO. KG  ,GERMANY
G-BBY-0097,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,21/01/2019,34345,EURO, SH CHEMICAL GROUP LIMITED,CHINA
G-BBY-0029,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,5/1/2019,63860,EURO, SHENZHEN CHENSU INTERNATIONAL TRADE CO. LTD,CHINA
G-BBY-0017,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,21/01/2019,375966,AED, SYED NAEEM GENERAL TRADING CO LLC   ,"DUBAI, UAE"
G-BBY-0018,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,21/01/2019,375966,AED, SYED NAEEM GENERAL TRADING CO LLC   ,"DUBAI, UAE"
G-BBY-0040,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,6/1/2019,51760,EURO, WEIHUI TRADING CO LIMITED  ,CHINA
G-BBY-0123,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,26/01/2019,30000,EURO, YILI (HONG KONG) TECHNOLOGY CORPORATION LTD,"HONGKONG, CHINA"
G-BBY-0093,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,21/01/2019,13112,EURO,ABP ELECTRONICS LIMITED  ,CHINA
G-BBY-0031,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,5/1/2019,60630,EURO,ADRIATICA SPA              ,ITALY
G-BBY-0084,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,15/01/2019,13000,EURO,AHYAN JUTE MILLS LIMITED           ,BANGALADESH
G-BBY-0096,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,21/01/2019,12019,EURO,AISPEED INDUSTRY LIMITED ,CHINA
G-BBY-0030,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,5/1/2019,29820,EURO,AKIJ JUTE MILLS LTD,BANGALADESH
G-BBY-0060,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,8/1/2019,37897,EURO,ANOTEC GMBH,GERMANY
G-BBY-0005,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,6/1/2019,1149512,AED,ANVERALLY & SONS PVT LTD  ,SRILANKA
G-BBY-0033,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,5/1/2019,95551,EURO,ARGOS IMPORT & EXPORT CO LTD   ,CHINA
G-BBY-0034,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,5/1/2019,76440,EURO,ARGOS IMPORT & EXPORT CO LTD   ,CHINA
G-BBY-0127,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,26/01/2019,28098,EURO,ARKO ENTERPRISE,"MUMBAI, INDIA"
G-BBY-0027,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,31/01/2019,474407,AED,ARMACO GENERAL TRADING LLC,"DUBAI, UAE"
G-BBY-0066,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,12/1/2019,9250,EURO,AVIN ELECTRONIC TECHNOLOGY CO.LTD ,"HONGKONG, CHINA"
G-BBY-0094,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,21/01/2019,72028,EURO,BENTLEY INNOMED GMBH ,GERMANY
G-BBY-0013,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,19/01/2019,1785241,AED,BEYZADE GENERAL TRADING,"DUBAI, UAE"
G-BBY-0014,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,19/01/2019,1563018,AED,BEYZADE GENERAL TRADING,"DUBAI, UAE"
G-BBY-0015,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,19/01/2019,1651741,AED,BEYZADE GENERAL TRADING,"DUBAI, UAE"
G-BBY-0119,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,26/01/2019,27800,EURO,BIOCHEMICAL SYSTEMS INTERNATIONAL S.P.A,ITALY
G-BBY-0142,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,9/1/2019,165972,AED,CASH WITHDRAWAL                                   ,
G-BBY-0109,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,24/01/2019,12411,EURO,CHEN WELL (HONG KONG) LIMITED   ,"HONGKONG, CHINA"
G-BBY-0041,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,6/1/2019,70000,EURO,CHIANGRAI FROZEN FOODS CO.-LTD  ,THAILAND
G-BBY-0049,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,7/1/2019,70000,EURO,CHIANGRAI FROZEN FOODS CO.-LTD  ,THAILAND
G-BBY-0050,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,7/1/2019,69488,EURO,CHIANGRAI FROZEN FOODS CO.-LTD  ,THAILAND
G-BBY-0114,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,24/01/2019,11053,EURO,CHINA AMAZONA MACHINERY CO.- LIMITED,CHINA
G-BBY-0091,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,19/01/2019,223108,EURO,CHINA OCEAN SHIPPING AGENCY CO LTD,CHINA
G-BBY-0107,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,24/01/2019,224350,EURO,CHINA OCEAN SHIPPING AGENCY CO LTD,CHINA
G-BBY-0047,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,6/1/2019,4573,EURO,CNTIC TIANJIN IMPORT & EXPORT CO LTD,CHINA
G-BBY-0113,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,24/01/2019,6963,EURO,CONTARINI LEOPOLDO SRL   ,ITALY
G-BBY-0117,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,24/01/2019,22173,EURO,D.B INDUSTRIAL LTD   ,U S A
G-BBY-0079,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,14/01/2019,40376,EURO,D.B INDUSTRIAL LTD           ,U S A
G-BBY-0074,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,12/1/2019,39063,EURO,DBI TRADING AND CONSULTING LIMITED   ,"HONGKONG, CHINA"
G-BBY-0110,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,24/01/2019,4144,EURO,DELTAMIX INTERNATIONAL TRADING ,CHINA
G-BBY-0065,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,12/1/2019,7400,EURO,DESITIN ARZNEIMITTEL GMBH  ,GERMANY
G-BBY-0057,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,8/1/2019,64440,EURO,DIHB DEUTSCH-INTERNATIONALE HANDELSBEZIEHUNGEN GMBH,GERMANY
G-BBY-0071,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,12/1/2019,21487,EURO,EUROPEAN MUD COMPANY AS,NORWAY
G-BBY-0137,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,29/01/2019,200982,EURO,EZM EDELSTAHLZIEHEREI MARK GMBH,GERMANY
G-BBY-0089,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,19/01/2019,283798,EURO,FASSKA PAR S.A,BELGIUM
G-BBY-0032,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,5/1/2019,14520,EURO,FLUIDMASTER PREDELAVA PLASTIKE D.O.O.,SLOVENIA
G-BBY-0019,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,21/01/2019,294895,AED,GALAXY SUN TELECOM LLC    ,"DUBAI, UAE"
G-BBY-0036,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,5/1/2019,115000,EURO,GIOELLI DI MENICHELLI FRANCO AND C SRL  ,ITALY
G-BBY-0115,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,24/01/2019,8535,EURO,GULF LINE INTERNATIONAL TRADING COMPANY LLC,"DUBAI, UAE"
G-BBY-0008,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,15/01/2019,136235,AED,HABIB MUHAMMAD SIDDIQUE FOOD AND BEVERAGE LLC,"DUBAI, UAE"
G-BBY-0009,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,15/01/2019,280217,AED,HABIB MUHAMMAD SIDDIQUE FOOD AND BEVERAGE LLC,"DUBAI, UAE"
G-BBY-0124,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,26/01/2019,22689,EURO,HK HUA CHENG ELECTRONICS CO.- LTD      ,CHINA
G-BBY-0044,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,6/1/2019,5488,EURO,ITAL PHARCHEM S.R.L ,ITALY
G-BBY-0121,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,26/01/2019,37226,EURO,JOINT RESOURCES TECHNOLOGY DEVELOPMENT LTD,"HONGKONG, CHINA"
G-BBY-0095,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,21/01/2019,35303,EURO,KAIDA HOLDING LIMITED,CHINA
G-BBY-0020,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,21/01/2019,682287,AED,KARJI GENERAL TRADING ESTABLISHMENT,"DUBAI, UAE"
G-BBY-0037,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,6/1/2019,277500,EURO,KLADEX LIMITED         ,UNITED KINGDOM
G-BBY-0004,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,6/1/2019,1739653,AED,KMG ROBUST COMMODITY DMCC,"DUBAI, UAE"
G-BBY-0088,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,19/01/2019,225456,EURO,LONG SHUN ENTERPRISE CO LIMITED,"HONGKONG, CHINA"
G-BBY-0092,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,20/01/2019,200124,EURO,LONG SHUN ENTERPRISE CO LIMITED,"HONGKONG, CHINA"
G-BBY-0102,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,21/01/2019,220460,EURO,LONG SHUN ENTERPRISE CO LIMITED,"HONGKONG, CHINA"
G-BBY-0104,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,23/01/2019,325444,EURO,LONG SHUN ENTERPRISE CO LIMITED,"HONGKONG, CHINA"
G-BBY-0138,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,30/01/2019,250300,EURO,LONG SHUN ENTERPRISE CO LIMITED,"HONGKONG, CHINA"
G-BBY-0139,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,30/01/2019,211125,EURO,MATTEO INTERNATIONAL TRADE CO LTD,"HONGKONG, CHINA"
G-BBY-0022,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,21/01/2019,330428,AED,MEDIST FZE  ,"DUBAI, UAE"
G-BBY-0136,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,29/01/2019,274321,EURO,MERIBEL TRADE CO LIMITED,"HONGKONG, CHINA"
G-BBY-0039,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,6/1/2019,37252,EURO,MGK CHEM INDUSTRY COMPANY LIMITED,USA
G-BBY-0069,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,12/1/2019,28667,EURO,MINDA KOTA SDN BHD  ,MALAYSIA
G-BBY-0011,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,19/01/2019,247314,AED,MOHAMED RUYAN MEDICAL EQUIPMENT TRADING,"DUBAI, UAE"
G-BBY-0085,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,15/01/2019,13000,EURO,NAHAR TRADING INTERNATIONAL,BANGALADESH
G-BBY-0080,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,14/01/2019,63480,EURO,NINGBO YOUNGOR INTERNATIONAL TRADE & TRANSPORTATION CO.- LTD.,CHINA
G-BBY-0076,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,14/01/2019,347985,EURO,PAS PRIMARY AUTOMOTIVE SUPPORT GMBH,GERMANY
G-BBY-0087,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,19/01/2019,347985,EURO,PAS PRIMARY AUTOMOTIVE SUPPORT GMBH,GERMANY
G-BBY-0059,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,8/1/2019,63912,EURO,PEYER GRAPHIZ AG,SWITZERLAND
G-BBY-0058,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,8/1/2019,41905,EURO,PHOENIX HANDELS- UND DEVELOPMENT-GMBH,GERMANY
G-BBY-0100,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,21/01/2019,12927,EURO,PHOENIX RUBBER PRODUCT CO : LTD        ,THAILAND
G-BBY-0063,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,10/1/2019,5000,EURO,PIONIER BIOINSTRUMENTE GMBH    ,AUSTRIA
G-BBY-0101,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,21/01/2019,162554,EURO,QINGDAO DOUBLESTAR TIRE INDUSTRIAL CO.-,CHINA
G-BBY-0118,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,26/01/2019,39930,EURO,RAXLAB E.K,GERMANY
G-BBY-0061,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,10/1/2019,3132,EURO,RKB EUROPE SA      ,SWITZERLAND
