product,unit,Doller,Derham,Euro,code
Powder Coating Aluminium Alloy Extrusion Profile,TONS,3000,11010,2580,1
Powder Coating Aluminium Extrusion Profiles Sliding Window,TONS,3000,11010,2580,1
PPGI Prepainted Steel Coils,TONS,640,2348.8,550.4,1
PPGI Steel Coil/Color Coated Galvanized Steel Coil,TONS,600,2202,516,1
Pre Painted Galvanized Corrugated Steel Sheet,TONS,1000,3670,860,1
Precast Concrete Lifting Socket/Lifting Insert/Fixing Insert/Lifting Clutch,PCS,35,128.45,30.1,1
Prefabricated House Fireproof Magnesium Oxide MGO Board,PCS,20,73.4,17.2,1
Preformated Aluminum Honeycomb Panel,SQUARE METERS,30,110.1,25.8,1
Prime Prepainted Hot Dipped Galvalume Galvanized Steel Coil,TONS,980,3596.6,842.8,1
PVC Coating Galvanized Stainless Steel Welded Wire Mesh,PCS,29,106.43,24.94,1
PVC Sliding Door,SQUARE METERS,35,128.45,30.1,1
PVDF 3003h24 Aluminium Coated Wooden Prepainted Aluminum Alloy Sheet,TONS,4000,14680,3440,1
PVDF Aluminium Composite Panels,SQUARE METERS,12,44.04,10.32,1
PVDF Aluminium Composite Panels,SQUARE METERS,12,44.04,10.32,1
PVDF Aluminum Wall Panel for Facade/ Cladding/ Roofing/ Decorative,SQUARE METERS,35,128.45,30.1,1
PVDF Coating Aluminium Curtain Wall,TONS,3000,11010,2580,1
PVDF/PE ACP Acm Aluminum Composite Panel,TONS,3000,11010,2580,1
Q195 Q235 Q345 Carbon Welded Steel Pipe,TONS,500,1835,430,1
Q235 Rectangular Steel Tube,TONS,650,2385.5,559,1
"Q235B Prime Building Materials Welded Profile H Shape Steel Beam
",TONS,800,2936,688,1
Q235QC Hot Roll Bridge Steel Plate High Strength,TONS,500,1835,430,1
Q345 Large Span Steel Structure,M3,55,201.85,47.3,1
Qt4-40 Small Hollow Concrete Cement Plant Paver Pavement Interlocking Road Construction Building Material Brick Block Making Machine,PCS,3000,11010,2580,1
Quality Industrial Aluminum Extrusion Profiles,TONS,2530,9285.1,2175.8,1
Quality PVC Foaming WPCS Wood Plastic Composite Panel/Board (A151),SQUARE METERS,8,29.36,6.88,1
Quartz Stone Solid Surface,SQUARE METERS,120,440.4,103.2,1
Ral Color Coated Prepainted Galvanized Stainless Steel,MTS,800,2936,688,1
Reliable Quality Motoer Lift 2 Ton Building Construction Materials Hoist Passenger Home Hydraulic Sightseeing Elevator,SETS,2000,7340,1720,1
Remote Control Building Material Security Fast Speed PVC Folding Aluminium Door (Hz-FC05623),PCS,1200,4404,1032,1
Ringlock Scaffold Base Collar/Starter O-Type HDG Building Material,PCS,10,36.7,8.6,1
Ringlock Scaffold Joiner Wedge Clamp HDG,PCS,10,36.7,8.6,1
Ringlock Scaffold Ledger O-Type HDG Galvanizing,PCS,10,36.7,8.6,1
Ringlock Scaffold Sidebracket O-Type HDG,PCS,30,110.1,25.8,1
Ringlock Scaffold Steel Plank/Board O-Type 240mm HDG,PCS,20,73.4,17.2,1
Ringlock Scaffold Toeboard O-Type HDG Galvanizing,PCS,10,36.7,8.6,1
Ringlock Scaffold Transom HDG Galvanizing,PCS,20,73.4,17.2,1
Ringlock System Scaffold Lattice Girder O-Type HDG,PCS,100,367,86,1
Rock Wool Board Heat Insulation,CUBIC METRE,56,205.52,48.16,1
Roof Tile Galvanized Corrugated Roof Sheets,TONS,850,3119.5,731,1
Rucobond Building Material PVDF PE Aluminum Composite Panel (RUCO15-4),SQUARE METERS,13.5,49.545,11.61,1
Sbs Modified Bitumen Waterproof Membrane Production Line,SETS,900000,3303000,774000,1
Sc200/200 Construction Lift/Construction Material Lift/Passenger Hoist for Building,PCS,25000,91750,21500,1
Scaffolding Tripod Advanced Building Construction Materials,PCS,1.2,4.404,1.032,1
Senyu WPC Building Material Fencing,TONS,950,3486.5,817,1
Sgch Colors Coated Steel Roofing Material,TONS,750,2752.5,645,1
SGS Prefab Building Material Steel Construction,SQUARE METERS,55,201.85,47.3,1
Sheet Aluminium Coil (ALC1105),TONS,2400,8808,2064,1
"Shuttering Building Construction Materials, Film Faced Plywood",PCS,18,66.06,15.48,1
Single Story Warehouse Steel Structure,SQUARE METERS,80,293.6,68.8,1
"Smoke Density Test Machine, ASTM D2843 (FTech-ASTMD2843)",PCS,9000,33030,7740,1
Smoke Density Tester,PCS,2000,7340,1720,1
Solid Surface / Building Material Artificial Quartz Stone with SGS,PCS,56,205.52,48.16,1
Square Hot-Dipped Galvanized Stainless Steel Welded Wire Mesh,ROLLS,10,36.7,8.6,1
Stainless Steel Plate,TONS,2050,7523.5,1763,1
Steel Structure Warehouse/Workshop 005,SQUARE METERS,150,550.5,129,1
"T Lintel, Hot Dipped Galvanize, Z500G/M2",TONS,1000,3670,860,1
T3-T8 Aluminium Extrusion and Profile,TONS,2800,10276,2408,1
Terrazzo Flooring Design Fullbody Porcelain Tile,SQUARE METERS,10,36.7,8.6,1
Thermal Insulation Building Construction Decorative Materials,MS,100,367,86,1
Transparent Acrylic Tube,TONS,6500,23855,5590,1
Various Color Coated PPGI,TONS,800,2936,688,1
Waterproof Decorative Wood Plastic Composite Wall Panel (W2-P2),SQUARE METERS,20,73.4,17.2,1
Weld Steel H Beam,TONS,850,3119.5,731,1
Welded Prefabricated Building with Steel Frame,M3,75,275.25,64.5,1
White Color Artificial Building Materials Quartz Stone Decoration for Countertop,SQUARE METERS,90,330.3,77.4,1
White Marble Hollow Column Stone Column,PCS,850,3119.5,731,1
White Powder Coating Building Material OEM 6063 T5 Extruted Aluminium Profile,TONS,2600,9542,2236,1
Wholesale Green Home Building Materials Construction,PCS,13,47.71,11.18,1
Wood Grain Aluminium Profile(BA-010),TONS,3450,12661.5,2967,1
Wrinkle PPGI,TONS,750,2752.5,645,1
Wrought Iron Doors Entrance Doors Design,SETS,2800,10276,2408,1
Wrought Iron Front Door,SETS,2300,8441,1978,1
ZCP Vmzinc Titanium-Zinc Composite Panel,SQUARE METERS,70,256.9,60.2,1
Zinc Coated Building Materials Metal Galvanized Roofing Sheet Steel Sheet,TONS,680,2495.6,584.8,1
10% Nylon 26% Tencel 58% Viscose 6% Linen Fashion Garment,PCS,31,113.77,26.66,2
100% Cottons Fashion Design High Collar Men's Stock Shirt,PCS,5.8,21.286,4.988,2
14gg 100% Cashmere Women's Cropped Sweater Crew Neck Long Sleeves Knitted Pullover Garment,PCS,38.9,142.763,33.454,2
2 Pockets TPU Ladies' Fashion Raincoat,PCS,18,66.06,15.48,2
65% Polyester 35%Cottons Manufacture Men Working Wear Garments,PCS,12,44.04,10.32,2
Antistatic Garment of Coverall,PCS,8.5,31.195,7.31,2
Comfortable and Dry Fit Fabric Cheap Soccer,PCS,30,110.1,25.8,2
Custom Baby Garment (ELTBCJ-49),PCS,12,44.04,10.32,2
"Custom Construction Unisex Workplace Uniform, Overalls, Working Garment",PCS,50,183.5,43,2
Custom Sublimated Girl's Sports Garment,SETS,28,102.76,24.08,2
Custom Sublimation Printing Ice Hockey Garment,PCS,28,102.76,24.08,2
Custom Sublimation Sports Garment,SETS,26,95.42,22.36,2
Custom/Customized Winter Windbreaker Sublimation/Sublimated Printing/Printed Boy/Men's Down Garment,PCS,10.95,40.1865,9.417,2
Customized Free Sample Cheap Oversize Ice Hockey Jerseys Wear Garment,PCS,16,58.72,13.76,2
"Factory Sales Outdoor Waterproof Jacket, Waterproof Garments",PCS,19,69.73,16.34,2
Fire Resistant Garment Five-Piece SETS,PCS,100,367,86,2
Fondeer Custom Clothing Fitness Leggings Spandex Yoga Pants Women Sport Wear,PCS,11,40.37,9.46,2
Girl Ladies Women Fashion Bridal Prom Evening Wedding Dress Apparel Garment,PCS,224,822.08,192.64,2
Girls Boutique Clothing Apparel Cottons Fabric Child Garment,PCS,14,51.38,12.04,2
Good Quality Anti-Static Clothes Coverall ESD Garments,PCS,4.8,17.616,4.128,2
Healong Custom Breathable High Quality Basketball Jersey Shirt Wear Garment,SETS,18,66.06,15.48,2
Healong Sublimation Wholesale Price Team Wear Basketball Jersey Garment,SETS,18,66.06,15.48,2
High Visibility Asni Class 3 Breathable Zip Mesh Safety Garment,PCS,8,29.36,6.88,2
Hi-Vis Work Jackets Safety Garments,PCS,18,66.06,15.48,2
Ladies Cashmerelike Long Cardigan Garment,PCS,10.2,37.434,8.772,2
Linen Tecel Clothes Jumpsuits Lady Garment,PCS,16.3,59.821,14.018,2
Men Black Polo Neck CotTONS Shirt Top Garment (JS9010m),PCS,6.7,24.589,5.762,2
Men's 100% Cottons Workwear Garment,PCS,12,44.04,10.32,2
Men's Fashion Light Garment Outdoor Jacket,PCS,6,22.02,5.16,2
Men's Fleece Ski Jacket Outdoor Insulated Snow Garment,PCS,25,91.75,21.5,2
Mens Polyester Motoboy Motorcycle Garment (MB08-T024J red),PCS,100,367,86,2
Mens Waterproof Padded Insulation Jacket Outerwear Clothing Garment,PCS,14,51.38,12.04,2
Men's Garment Outdoor Camping Hiking Windbreaker,PCS,17,62.39,14.62,2
OEM Custom Design Men Protective Garments (W247),PCS,12,44.04,10.32,2
OEM Wholesale V-Neck Short Sleeve Volleyball Garment,PCS,25.8,94.686,22.188,2
OEM Women Fashion Wool Turtleneck Sleeveless Knitting Skirt Unlined Upper Garment (W18-512),PCS,12,44.04,10.32,2
Party Items Purple Baby Cloth (C5048),PCS,14,51.38,12.04,2
Polyester 3 in 1 Hiking Garment,PCS,25,91.75,21.5,2
Quality Summer Stripe Print Dress Fashion Women,PCS,16,58.72,13.76,2
Silk Dress Women Double Layers Short Sleeves Casual Ladies Dress,PCS,44.22,162.2874,38.0292,2
SMS PP Nonwoven Disposable Coverall/Protective Garment,BOXES,0.16,0.5872,0.1376,2
Stock Garment,PCS,9.2,33.764,7.912,2
Thick Baby Apparel Navy Color Baby Garment Romper,PCS,5.5,20.185,4.73,2
Uniform/Workwear/Overall/Working Clothes/Working Garments,PCS,50,183.5,43,2
Vintage Clothing Manufacturers Cottons Shirts Garments,PCS,12.3,45.141,10.578,2
Water Printing Children Clothing Summer Short Baby Garment,PCS,3.5,12.845,3.01,2
Winter Long Sleeve Leggings Sponge Baby Sleeping Overalls Garments,PCS,4,14.68,3.44,2
Winter Softshell Reflective Security Garment,PCS,19.5,71.565,16.77,2
Woman Wholesale Garments Dress Casual Retro Stye (L36108-1),PCS,9.78,35.8926,8.4108,2
2-Crank Medical Manual Bed with Dining Table (THR-MB220),PCS,228,836.76,196.08,3
a-2005c Hospital Obstetrics Gynecology Equipment Medical Delivery Bed,PCS,800,2936,688,3
ABS Hospital Bed with Three Cranks (SLV-B4030),PCS,400,1468,344,3
ABS Reverse ICU Electric Hospital Care Bed Medical Bed(SLV-B4131),PCS,556,2040.52,478.16,3
Adjustable Bed/Recliner Bed,PCS,300,1101,258,3
Aluminium Patient Handling,PCS,1038,3809.46,892.68,3
Automatic Loading Hospital Medical First-Aid Surgical Patient Delivery Bed,PCS,800,2936,688,3
Bae502 Factory Direct Hospital Furniture Electric Medical Equipment Bed,PCS,1500,5505,1290,3
Bae517ec Medical Hospital Equipment Five Function Adjustable Electric Bed,PCS,2300,8441,1978,3
C Arm Compatible Medical Operating Bed (HFEOT99),PCS,3200,11744,2752,3
Ce ISO Medical 3-Function Electric Hospital Nursing CareBed,PCS,595,2183.65,511.7,3
"Ce, FDA, ISO Approval Medical Four Crank Hospital Manual Bed",PCS,460,1688.2,395.6,3
Cheap Adjustable Medical Manual Bed,PCS,638,2341.46,548.68,3
China Supplier Hospital Furniture Electric Multi-Function Medical Bed /Hospital/Nursing Bed,PCS,2450,8991.5,2107,3
Electric Medical Bed,PCS,360,1321.2,309.6,3
Electric Medical Physiotherapy Massage Bed,PCS,800,2936,688,3
Five Functions Electric Medical Bed,PCS,3000,11010,2580,3
FM-03b Medical Function Traction Bed Net Frame,PCS,1800,6606,1548,3
"Ha-6 ABS Manual Medical Bed, Hospital Bed",PCS,480,1761.6,412.8,3
Hospital Equipment Manual Medical Beds,PCS,300,1101,258,3
Hospital Furniture Five-Function Electric Medical CareBed Slv-B4151,PCS,708,2598.36,608.88,3
Hospital Furniture ICU Bed Medical Nursing Manual Hospital Bed with Examintation Lamp,PCS,300,1101,258,3
Hospital Gynecological Examining Table Medical Production Surgery Bed,PCS,1260,4624.2,1083.6,3
Hospital Patient Furniture Electric/Manual Multi-FunctionMedical Bed /Hospital/Nursing/ICU Bed,SETS,1000,3670,860,3
Manual Hospital Care Bed Adjustable Medical Bed,PCS,288,1056.96,247.68,3
Medical Dental Bed with LED X-ray Viewer,PCS,1800,6606,1548,3
Medical Electric Beauty Jade Massage Bed,PCS,700,2569,602,3
Medical Examination Bed,PCS,2000,7340,1720,3
Medical Furniture and Equipment Medical Metal 5 Function Electric Hospital Bed,PCS,1300,4771,1118,3
Medical Furniture Equipment Medical Metal 5 Function Electric Hospital Bed,PCS,2000,7340,1720,3
Medical Hospital Equipment Electric Massage Bed,PCS,10800,39636,9288,3
Medical Nuga Massage Bed,PCS,550,2018.5,473,3
Medical Nursing Equipment Manual Double Function Adjustable Hospital Beds,PCS,380,1394.6,326.8,3
Medical Supply Adjustable Treatment Bed,PCS,4500,16515,3870,3
Medical Supply Cervical and Lumbar Traction Bed,PCS,1950,7156.5,1677,3
Medical Treatment Bed,PCS,2000,7340,1720,3
Medical X-Raying Available Integrative Obstetric Bed(HFEOT2000),PCS,4250,15597.5,3655,3
Multi-Functional Medical Equipment Hospital Bed,PCS,2000,7340,1720,3
National Science and Technology Support Program Medical Device Hydraulic Hospital Bed,PCS,15000,55050,12900,3
NFC026 Medical ABS Triple-Function Bed,PCS,367,1346.89,315.62,3
Obstetrics & Gynecology Equipments Hospital Medical Adjustable Delivery Beds,SETS,5500,20185,4730,3
Patent Product Medical Laminar Air Flow Hood Bed\,PCS,1450,5321.5,1247,3
Professional Medical Electric Bed with Three Functions,PCS,720,2642.4,619.2,3
Rehabilitation Center Full Tilt Electric Bed,PCS,700,2569,602,3
Super Low Hospital Electric Medical Supply Bed,PCS,550,2018.5,473,3
Three Crank Medical Equipment Manual Hospital Bed,PCS,2000,7340,1720,3
Three Function Electric Hospital Bed,PCS,350,1284.5,301,3
Three Function Hospital Electric Bed/Medical Equipment,PCS,600,2202,516,3
X-ray Electric Five Function Medical Bed,PCS,1800,6606,1548,3
3 Axis/4 Axis/5 Axis Auto Spare Parts,PCS,10,36.7,8.6,4
Carbon Fiber Molded Medical Treatment Spare Parts,PCS,10,36.7,8.6,4
CNC Milling Machining Parts,PCS,30,110.1,25.8,4
CNC Precision Machine Car Parts,PCS,40,146.8,34.4,4
CNC Part for Auto/Medical,PCS,10,36.7,8.6,4
Custom High Precision CNC Machining Part,PCS,24,88.08,20.64,4
Experienced Customized Medical Equipment Spare Parts,PCS,20,73.4,17.2,4
Hardware Spare CNC Machining Aluminum Parts,PCS,10,36.7,8.6,4
High Precision CNC Machining Parts Auto Spare Parts,PCS,30,110.1,25.8,4
High Precision Milling CNC Spare Metal Auto Parts,PCS,10,36.7,8.6,4
High Precision Stainless Steel CNC Machine Spare Parts,PCS,29,106.43,24.94,4
IPL Shr Elight Machine Handpiece IPL Piezas De Repuesto Huamei Spare Parts,PCS,1000,3670,860,4
Medical CNC Precision Metal Metallic Processing Machinery Spare Parts,PCS,25,91.75,21.5,4
Medical Opthalmic Intrustment Auto Chart Projector Eye Parts Checking; ACP-1000,PCS,10000,36700,8600,4
Medical Spare Precision Metallic Processing Machinery Machining Part,PCS,25,91.75,21.5,4
