p_name,unit,dollar,dirham,euro,type,tradingTypeCode
Ceramicآ Buildingآ Materialآ Super Black Polished Porcelain Floor Tile 600X600mm,SQUARE METERS,3.6,13.21,3.1,BUILDING (2),1
Ceramicآ Buildingآ Materialآ Super White Polished Porcelain Floor Tile 600X600mm 800X800mm,SQUARE METERS,4.5,16.52,3.87,BUILDING (2),1
CNC Machining Parts Aluminum Profile Extrusion,PCS,100,367,86,BUILDING (2),1
Cold Rolled Metal Roof Sheet Galvalume Galvanized Prepainted Steel Coil PPGI,TONS,1000,3670,860,BUILDING (2),1
Color Coated Corrugated Galvanized Steel Sheet,TONS,720,2642.4,619.2,BUILDING (2),1
Colored Coated Aluminum / Aluminium Wall Cladding,TONS,3999,14676.33,3439.14,BUILDING (2),1
Competitive Price Steel Structureآ Constructionآ Hangar,SQUARE METERS,80,293.6,68.8,BUILDING (2),1
Composite Reinforcement Floor Decking Sheet,TONS,800,2936,688,BUILDING (2),1
Concept Wood Look Ceramic Floor Tiles (TRP912),SQUARE METERS,8.8,32.3,7.57,BUILDING (2),1
Construction Building Passenger Hoist,PCS,60000,220200,51600,BUILDING (2),1
Corrugated Galvanized Steel Sheet Roofing Sheet,TONS,800,2936,688,BUILDING (2),1
Corrugated PPGI Steel Roofing Sheet,YARDS,650,2385.5,559,BUILDING (2),1
Corrugated Prime Cold Rolled Hot Dipped Zinc Prepainted Color Coated PPGI PPGL Galvalume Galvanized Steel Sheet,TONS,900,3303,774,BUILDING (2),1
Corrugated Steel Roofing Sheet,TONS,900,3303,774,BUILDING (2),1
Corrugated Steel Sheet/Roofing Tiles,TONS,880,3229.6,756.8,BUILDING (2),1
Cost Price Color Coated Aluminum Coil,TONS,3500,12845,3010,BUILDING (2),1
Countertop Material Engineered Artificial Crystal Quartz Stone Slab,PCS,47,172.49,40.42,BUILDING (2),1
Customized Exterior Metal 3D Aluminum Facade Panels,SQUARE METERS,60,220.2,51.6,BUILDING (2),1
Decoration Aluminium Profile,TONS,3000,11010,2580,BUILDING (2),1
Decoration Materials Wall Panel Acoustic Panel Building Panel Fireproof Board,SQUARE METERS,50,183.5,43,BUILDING (2),1
Decorative Building Material Stone Aluminum Honeycomb Panel,SQUARE METERS,90,330.3,77.4,BUILDING (2),1
Deformed Steel Bar HRB335 HRB400 HRB500 Steel Rebar Rod Reinforcement Bar,TONS,600,2202,516,BUILDING (2),1
Door Professional Manufacturer Durable and Full of Option,PCS,200,734,172,BUILDING (2),1
Dx51d Bright Hot DIP Galvanized Steel Coil /Gi,TONS,700,2569,602,BUILDING (2),1
Dx8364 En13501-5-2005+A1-2009 Horizontal Vertical Construction Materials Testing Equipment for Building Component,PCS,200000,734000,172000,BUILDING (2),1
Ecoآ Buildingآ Materialآ 10-25mm Aluminum Honeycomb Panel,SQUARE METERS,50.32,184.67,43.28,BUILDING (2),1
Economic Embossed Coated Aluminum Coil,TONS,2400,8808,2064,BUILDING (2),1
Electrophotetic Coating Black Aluminium Profile,TONS,2700,9909,2322,BUILDING (2),1
Environmental Building Material EPS Foam Insulated Roof/Wall Sandwich Panels,SQUARE METERS,19,69.73,16.34,BUILDING (2),1
Exterior Decorative Partition Panel Fiber Cement Boards,ROLLS,20,73.4,17.2,BUILDING (2),1
Exterior Safety Electric Motorized Thermal Insulated Security Overhead Sectional Garage Door,PCS,1200,4404,1032,BUILDING (2),1
Fabricated Building Material PU Sandwich Panel Building Steel & Structure,SQUARE METERS,40,146.8,34.4,BUILDING (2),1
Fabrication Painted/Galvanized Steel,SQUARE METERS,25,91.75,21.5,BUILDING (2),1
Facadeآ Buildingآ Decorativeآ Materialآ ACP/Mcp/A2 Fr Aluminum Composite Panel,SQUARE METERS,35,128.45,30.1,BUILDING (2),1
Fastآ Constructionآ Recycled EPS/PU/PIR/Rock Wool Sanwich Panelآ Materials,MS,12,44.04,10.32,BUILDING (2),1
Fiberglass/FRP/Plastic Grids,SQUARE METERS,25,91.75,21.5,BUILDING (2),1
Film Faced Plywood Shuttering Plywood Formwork for construction,CBM,600,2202,516,BUILDING (2),1
Film Faced Plywood  Marine Plywood,SQUARE METERS,370,1357.9,318.2,BUILDING (2),1
Fireproof Insulation Rock Wool Sandwich Panel,SQUARE METERS,14,51.38,12.04,BUILDING (2),1
Fireproof Soundproof Spraying Cottonthermal Insulation,TONS,450,1651.5,387,BUILDING (2),1
Floor Tile and Wall Tile Outdoor Tile 800*800,SQUARE METERS,8.5,31.2,7.31,BUILDING (2),1
FRP Building Material Fiber-Reinforced Plastic Pultrusion Profiles,MS,10,36.7,8.6,BUILDING (2),1
FRP Pultruded Box Section  FRP/GRP Pultrusion Profiles  Fiberglass Profiles,MS,35,128.45,30.1,BUILDING (2),1
FRP/GRP Gratings  Fiberglass Gratings  FRP Molded Gratings  Transparent Grating,SQUARE METERS,98,359.66,84.28,BUILDING (2),1
FRP/GRP Protective Cable Pipe,KGS,30,110.1,25.8,BUILDING (2),1
Full Body Anti Slip Porcelain Glazed Tile Ceramic Flooring Tile Big Size 450X900mm,SQUARE METERS,9.5,34.87,8.17,BUILDING (2),1
Fully Automatic Building Material Light Weight EPS Sandwich Wall Panel Making Machine,SETS,2000000,7340000,1720000,BUILDING (2),1
Fully Automatic Reinforced Lintel Machine,SETS,9000,33030,7740,BUILDING (2),1
Gal Aluminium Windows and Doors,SETS,70,256.9,60.2,BUILDING (2),1
Galvanized Angle Bar,TONS,850,3119.5,731,BUILDING (2),1
Galvanized Purlin,TONS,800,2936,688,BUILDING (2),1
Galvanized Round Steel Pipe,TONS,680,2495.6,584.8,BUILDING (2),1
Glass Aluminum Sliding Door,SQUARE METERS,230,844.1,197.8,BUILDING (2),1
Gold Color Bulatti Double Loading Buildingآ Materialآ Polished Porcelain Floor Tiles,SQUARE METERS,5.5,20.19,4.73,BUILDING (2),1
Good Price Building Material Artificial Quartz Stone,PCS,48,176.16,41.28,BUILDING (2),1
Green Building Material Exterior Paving Use Plastic Skirted Wood Decking,SQUARE METERS,33,121.11,28.38,BUILDING (2),1
Gypsum Block Production Line,SETS,100000,367000,86000,BUILDING (2),1
Heat Insulation Tube Building Material Pipe Glasswool,SETS,300,1101,258,BUILDING (2),1
High Corrosion Resistant Aluminum Magnesium Manganese Buildingآ Materialآ Roof Plate,MS,23,84.41,19.78,BUILDING (2),1
High Quality 3-35mm PVC WPC Plastic Celuka Foam Board,TONS,1000,3670,860,BUILDING (2),1
High Quality Color Steel Roof Tile,SQUARE METERS,4,14.68,3.44,BUILDING (2),1
High Transparent Self-Extinguishing Acrylic Rod,TONS,700,2569,602,BUILDING (2),1
Hollow Stone Pillar Granite Roman Column,PCS,750,2752.5,645,BUILDING (2),1
Hot Dipped Corrugated Metal Roofing Roof Galvalume Galvanized Prepainted Color Coated PPGI,TONS,1000,3670,860,BUILDING (2),1
Hot Dipped Galvanized Steel (Hot rolled/Cold rolled) Coil,TONS,450,1651.5,387,BUILDING (2),1
Hot Prime Galvanized Steel Roofing Sheet,TONS,750,2752.5,645,BUILDING (2),1
Hot Rolled Prime Steel Prouducts Steel H Beam,TONS,600,2202,516,BUILDING (2),1
Hot Rolled U Shaped Steel Sheet Pile,TONS,750,2752.5,645,BUILDING (2),1
Hot sale 1220*2440*13mm building material film faced plywood,CBM,500,1835,430,BUILDING (2),1
Hot Sale Building Material Full Body Rustic Porcelain Matt Floor Tile (Z3500),M3,8,29.36,6.88,BUILDING (2),1
House Gate Interior Wooden Doors,PCS,200,734,172,BUILDING (2),1
Ideabond Building Material Pre-Painted Aluminium Strip,TONS,4300,15781,3698,BUILDING (2),1
Industrial PVC High Speed Shutter Door/Fast Shutter Door/High Speed PVC Roll up/Fold up Door,SETS,1550,5688.5,1333,BUILDING (2),1
Large Span Steel Structure H Beamآ Buildingآ Material,SQUARE METERS,50,183.5,43,BUILDING (2),1
Light Steel Structure Prefabricated Carport  Warehouse  Workshop (Q345B/Q235B),SQUARE METERS,25,91.75,21.5,BUILDING (2),1
Lightweight Stone Aluminum Honeycomb Panels,SQUARE METERS,99,363.33,85.14,BUILDING (2),1
Low Budget Modular Steel Structue Frame,SQUARE METERS,80,293.6,68.8,BUILDING (2),1
Machinery Lightweight Wall Panel Machine,TONS,10000,36700,8600,BUILDING (2),1
Material Hoist/Mini Hoist/Lift,PCS,33000,121110,28380,BUILDING (2),1
Medium Density Fiberboard,PCS,8,29.36,6.88,BUILDING (2),1
Mexico Rn100 Hydraulic Press Rolling Machine,SETS,8000,29360,6880,BUILDING (2),1
Modern Aluminum Sliding Door and Windows,SQUARE METERS,100,367,86,BUILDING (2),1
New Paneling Veins Series Artificial Quartz Slab Stone,PCS,47,172.49,40.42,BUILDING (2),1
OEM PE PVDF Aluminum Alloy Color Coated Prepainted Aluminium Coil,TONS,3999,14676.33,3439.14,BUILDING (2),1
PE PVDF Aluminium Compoaite Panel,SQUARE METERS,11,40.37,9.46,BUILDING (2),1
PE PVDF FEVE Coatingآ Buildingآ Materialآ Aluminum Composite Panel,SQUARE METERS,10,36.7,8.6,BUILDING (2),1
Plain HDF Cheap Price 1220mmx2440mmx1.6mm E1,PCS,12,44.04,10.32,BUILDING (2),1
Plaster Gypsum Powder Making Machine,SETS,2000000,7340000,1720000,BUILDING (2),1
Polyesterآ Buildingآ Wall Decorationآ Materialآ Aluminum Composite Panel,PCS,7,25.69,6.02,BUILDING (2),1
Poplar Film Faced Plywood/Marine Plywood,PCS,20,73.4,17.2,BUILDING (2),1
Popular Floor Deck Building Material Tile Making Machinery,SETS,28000,102760,24080,BUILDING (2),1
Powder Coating Aluminium Alloy Extrusion Profile,TONS,3000,11010,2580,BUILDING (2),1
Powder Coating Aluminium Extrusion Profiles Sliding Window,TONS,3000,11010,2580,BUILDING (2),1
PPGI Prepainted Steel Coils,TONS,640,2348.8,550.4,BUILDING (2),1
PPGI Steel Coil/Color Coated Galvanized Steel Coil,TONS,600,2202,516,BUILDING (2),1
Pre Painted Galvanized Corrugated Steel Sheet,TONS,1000,3670,860,BUILDING (2),1
Precast Concrete Lifting Socket/Lifting Insert/Fixing Insert/Lifting Clutch,PCS,35,128.45,30.1,BUILDING (2),1
Prefabricated House Fireproof Magnesium Oxide MGO Board,PCS,20,73.4,17.2,BUILDING (2),1
Preformated Aluminum Honeycomb Panel,SQUARE METERS,30,110.1,25.8,BUILDING (2),1
Prime Prepainted Hot Dipped Galvalume Galvanized Steel Coil,TONS,980,3596.6,842.8,BUILDING (2),1
PVC Coating Galvanized Stainless Steel Welded Wire Mesh,PCS,29,106.43,24.94,BUILDING (2),1
PVC Sliding Door,SQUARE METERS,35,128.45,30.1,BUILDING (2),1
PVDF 3003h24 Aluminium Coated Wooden Prepainted Aluminum Alloy Sheet,TONS,4000,14680,3440,BUILDING (2),1
PVDF Aluminium Composite Panels,SQUARE METERS,12,44.04,10.32,BUILDING (2),1
PVDF Aluminium Composite Panels,SQUARE METERS,12,44.04,10.32,BUILDING (2),1
PVDF Aluminum Wall Panel for Facade/ Cladding/ Roofing/ Decorative,SQUARE METERS,35,128.45,30.1,BUILDING (2),1
PVDF Coating Aluminium Curtain Wall,TONS,3000,11010,2580,BUILDING (2),1
PVDF/PE ACP Acm Aluminum Composite Panel,TONS,3000,11010,2580,BUILDING (2),1
Q195 Q235 Q345 Carbon Welded Steel Pipe,TONS,500,1835,430,BUILDING (2),1
Q235 Rectangular Steel Tube,TONS,650,2385.5,559,BUILDING (2),1
"Q235B Prime Building Materials Welded Profile H Shape Steel Beam
",TONS,800,2936,688,BUILDING (2),1
Q235QC Hot Roll Bridge Steel Plate High Strength,TONS,500,1835,430,BUILDING (2),1
Q345 Large Span Steel Structure,M3,55,201.85,47.3,BUILDING (2),1
Qt4-40 Small Hollow Concrete Cement Plant Paver Pavement Interlocking Road Construction Building Material Brick Block Making Machine,PCS,3000,11010,2580,BUILDING (2),1
Quality Industrial Aluminum Extrusion Profiles,TONS,2530,9285.1,2175.8,BUILDING (2),1
Quality PVC Foaming WPCS Wood Plastic Composite Panel/Board (A151),SQUARE METERS,8,29.36,6.88,BUILDING (2),1
Quartz Stone Solid Surface,SQUARE METERS,120,440.4,103.2,BUILDING (2),1
Ral Color Coated Prepainted Galvanized Stainless Steel,MTS,800,2936,688,BUILDING (2),1
Reliable Quality Motoer Lift 2 Ton Building Construction Materials Hoist Passenger Home Hydraulic Sightseeing Elevator,SETS,2000,7340,1720,BUILDING (2),1
Remote Controlآ Buildingآ Materialآ Security Fast Speed PVC Folding Aluminium Door (Hz-FC05623),PCS,1200,4404,1032,BUILDING (2),1
Ringlock Scaffold Base Collar/Starter O-Type HDG Building Material,PCS,10,36.7,8.6,BUILDING (2),1
Ringlock Scaffold Joiner Wedge Clamp HDG,PCS,10,36.7,8.6,BUILDING (2),1
Ringlock Scaffold Ledger O-Type HDG Galvanizing,PCS,10,36.7,8.6,BUILDING (2),1
Ringlock Scaffold Sidebracket O-Type HDG,PCS,30,110.1,25.8,BUILDING (2),1
Ringlock Scaffold Steel Plank/Board O-Type 240mm HDG,PCS,20,73.4,17.2,BUILDING (2),1
Ringlock Scaffold Toeboard O-Type HDG Galvanizing,PCS,10,36.7,8.6,BUILDING (2),1
Ringlock Scaffold Transom HDG Galvanizing,PCS,20,73.4,17.2,BUILDING (2),1
Ringlock System Scaffold Lattice Girder O-Type HDG,PCS,100,367,86,BUILDING (2),1
Rock Wool Board Heat Insulation,CUBIC METRE,56,205.52,48.16,BUILDING (2),1
Roof Tile Galvanized Corrugated Roof Sheets,TONS,850,3119.5,731,BUILDING (2),1
Rucobondآ Buildingآ Materialآ PVDF PE Aluminum Composite Panel (RUCO15-4),SQUARE METERS,13.5,49.55,11.61,BUILDING (2),1
Sbs Modified Bitumen Waterproof Membrane Production Line,SETS,900000,3303000,774000,BUILDING (2),1
Sc200/200 Construction Lift/Construction Material Lift/Passenger Hoist for Building,PCS,25000,91750,21500,BUILDING (2),1
Scaffolding Tripod Advancedآ Buildingآ Construction Materials,PCS,1.2,4.4,1.03,BUILDING (2),1
Senyu WPC Building Material Fencing,TONS,950,3486.5,817,BUILDING (2),1
Sgch Colors Coated Steel Roofingآ Material,TONS,750,2752.5,645,BUILDING (2),1
SGS Prefab Building Material Steel Construction,SQUARE METERS,55,201.85,47.3,BUILDING (2),1
Sheet Aluminium Coil (ALC1105),TONS,2400,8808,2064,BUILDING (2),1
Shuttering Building Construction Materials  Film Faced Plywood,PCS,18,66.06,15.48,BUILDING (2),1
Single Story Warehouse Steel Structure,SQUARE METERS,80,293.6,68.8,BUILDING (2),1
Smoke Density Test Machine  ASTM D2843 (FTech-ASTMD2843),PCS,9000,33030,7740,BUILDING (2),1
Smoke Density Tester,PCS,2000,7340,1720,BUILDING (2),1
Solid Surface / Building Material Artificial Quartz Stone with SGS,PCS,56,205.52,48.16,BUILDING (2),1
Square Hot-Dipped Galvanized Stainless Steel Welded Wire Mesh,ROLLS,10,36.7,8.6,BUILDING (2),1
Stainless Steel Plate,TONS,2050,7523.5,1763,BUILDING (2),1
Steel Structure Warehouse/Workshop 005,SQUARE METERS,150,550.5,129,BUILDING (2),1
T Lintel  Hot Dipped Galvanize  Z500G/M2,TONS,1000,3670,860,BUILDING (2),1
T3-T8 Aluminium Extrusion and Profile,TONS,2800,10276,2408,BUILDING (2),1
Terrazzo Flooring Design Fullbody Porcelain Tile,SQUARE METERS,10,36.7,8.6,BUILDING (2),1
Thermal Insulation Building Construction Decorative Materials,MS,100,367,86,BUILDING (2),1
Transparent Acrylic Tube,TONS,6500,23855,5590,BUILDING (2),1
Various Color Coated PPGI,TONS,800,2936,688,BUILDING (2),1
Waterproof Decorative Wood Plastic Composite Wall Panel (W2-P2),SQUARE METERS,20,73.4,17.2,BUILDING (2),1
Weld Steel H Beam,TONS,850,3119.5,731,BUILDING (2),1
Welded Prefabricated Building with Steel Frame,M3,75,275.25,64.5,BUILDING (2),1
White Color Artificial Building Materials Quartz Stone Decoration for Countertop,SQUARE METERS,90,330.3,77.4,BUILDING (2),1
White Marble Hollow Column Stone Column,PCS,850,3119.5,731,BUILDING (2),1
White Powder Coatingآ Buildingآ Materialآ OEM 6063 T5 Extruted Aluminium Profile,TONS,2600,9542,2236,BUILDING (2),1
Wholesale Green Homeآ Buildingآ Materialsآ Construction,PCS,13,47.71,11.18,BUILDING (2),1
Wood Grain Aluminium Profile(BA-010),TONS,3450,12661.5,2967,BUILDING (2),1
Wrinkle PPGI,TONS,750,2752.5,645,BUILDING (2),1
Wrought Iron Doors Entrance Doors Design,SETS,2800,10276,2408,BUILDING (2),1
Wrought Iron Front Door,SETS,2300,8441,1978,BUILDING (2),1
ZCP Vmzinc Titanium-Zinc Composite Panel,SQUARE METERS,70,256.9,60.2,BUILDING (2),1
Zinc Coated Building Materials Metal Galvanized Roofing Sheet Steel Sheet,TONS,680,2495.6,584.8,BUILDING (2),1
PVC Glazed Roof Tile Extrusion Machine,PCS,50000,183500,42205,BUILDING MATERIAL MACHINERY,27
Cement Hollow Brick Machine,SETS,50000,183500,42205,BUILDING MATERIAL MACHINERY,27
Brick Block Making Machine,PCS,35000,183500,42205,BUILDING MATERIAL MACHINERY,27
CNC Aluminium Double Head Cutting Saw Machine,SETS,55000,128450,29543.5,BUILDING MATERIAL MACHINERY,27
CZ Channel Steel Framing Making Machine,SETS,56000,201850,46425.5,BUILDING MATERIAL MACHINERY,27
Automatic AAC Block Making Machine,PCS,500000,205520,47269.6,BUILDING MATERIAL MACHINERY,27
Ball Mill with Large Diameter Sizes,PCS,400000,1835000,422050,BUILDING MATERIAL MACHINERY,27
Concrete Block Making Machine with ISO Approved,PCS,500000,1468000,337640,BUILDING MATERIAL MACHINERY,27
Paver Brick Block Making Machine,SETS,90000,1835000,422050,BUILDING MATERIAL MACHINERY,27
