REF,repExporter,cityOfRepExporter,exporter,cityOfExporter,importer,cityOfImporter,repImporter,cityOfrepImporter,Origin,laoding,Discharge,totalAmount,amountToWord,p1name,p1qty,p1unit,p1unitp,p1total,p2name,p2qty,p2unit,p2unitp,p2total,p3name,p3qty,p3unit,p3unitp,p3total,p4name,p4qty,p4unit,p4unitp,p4total,p5name,p5qty,p5unit,p5unitp,p5total,numOfClient,currency,date
G-BBY-0126,,, LAMIGRAF S.A.U   ,SPAIN,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: SPAIN,Loading: SPAIN,Discharge: Tianjin- China,37700,Thirty Seven Thousand Seven Hundred Euros only,Heat Insulation Tube Building Material Pipe Glasswool,125.0,SETS,301.6,37700.0,,,,,,,,,,,,,,,,,,,,,,EURO,26/01/2019
G-BBY-0054,,, MA. TE. CO. SRL  ,ITALY,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: ITALY,Loading: ITALY,Discharge: Tianjin- China,29940,Twenty Nine Thousand Nine Hundred Forty Euros only,Cost Price Color Coated Aluminum Coil,8.0,TONS,3742.5,29940.0,,,,,,,,,,,,,,,,,,,,,,EURO,8/1/2019
G-BBY-0055,,, MA. TE. CO. SRL  ,ITALY,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: ITALY,Loading: ITALY,Discharge: Tianjin- China,16885,Sixteen Thousand Eight Hundred Eighty Five Euros only,Ringlock Scaffold Joiner Wedge Clamp HDG,1688.0,PCS,10.002962085308058,16885.0,,,,,,,,,,,,,,,,,,,,,,EURO,8/1/2019
G-BBY-0056,,, MA. TE. CO. SRL  ,ITALY,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: ITALY,Loading: ITALY,Discharge: Tianjin- China,20190,Twenty Thousand One Hundred Ninety Euros only,2017آ Buildingآ Materialآ Rapid Rolling High Speed Roller Shutter Doors (Hz-FC061),16.0,PCS,1261.875,20190.0,,,,,,,,,,,,,,,,,,,,,,EURO,8/1/2019
G-BBY-0083,,, MANTRADE CORPORATION LIMITED  ,"HONGKONG, CHINA",Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,"Origin: HONGKONG, CHINA","Loading: HONGKONG, CHINA",Discharge: Tianjin- China,14551,Fourteen Thousand Five Hundred Fifty One Euros only,Stainless Steel Plate,7.0,TONS,2078.714285714286,14551.0,,,,,,,,,,,,,,,,,,,,,,EURO,15/01/2019
G-BBY-0133,,, MARFRIG GLOBAL FOODS S A,BRAZIL,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: BRAZIL,Loading: BRAZIL,Discharge: Tianjin- China,173267,One Hundred Seventy Three Thousand Two Hundred Sixty Seven Euros only,Big Size Ultra Thin Marble Look Porcelain Ceramic Floor Tile,712.0,SQUARE METERS,78.65168539325843,56000.00000000001,CNC Machining Parts Aluminum Profile Extrusion,1172,PCS,100.05716723549489,117267.0,,,,,,,,,,,,,,,,,EURO,29/01/2019
G-BBY-0134,,, MARFRIG GLOBAL FOODS S A,BRAZIL,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: BRAZIL,Loading: BRAZIL,Discharge: Tianjin- China,214222,Two Hundred Fourteen Thousand Two Hundred Twenty Two Euros only,Solid Surface / Building Material Artificial Quartz Stone with SGS,2649.0,PCS,62.92134831460674,166678.65168539324,Corrugated Prime Cold Rolled Hot Dipped Zinc Prepainted Color Coated PPGI PPGL Galvalume Galvanized Steel Sheet,52,TONS,914.2951598962838,47543.34831460676,,,,,,,,,,,,,,,,,EURO,29/01/2019
G-BBY-0140,,, MARFRIG GLOBAL FOODS S A      ,BRAZIL,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: BRAZIL,Loading: BRAZIL,Discharge: Tianjin- China,213244,Two Hundred Thirteen Thousand Two Hundred Forty Four Euros only,Green Building Material Exterior Paving Use Plastic Skirted Wood Decking,2654.0,SQUARE METERS,37.07865168539326,98406.74157303371,25mm White Color Marble Honeycomb Panel,1913,SQUARE METERS,60.02993122162378,114837.25842696629,,,,,,,,,,,,,,,,,EURO,30/01/2019
G-BBY-0086,,, MONNO CORPORATION ,BANGALADESH,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: BANGALADESH,Loading: BANGALADESH,Discharge: Tianjin- China,24472,Twenty Four Thousand Four Hundred Seventy Two Euros only,Galvanized Angle Bar,28.0,TONS,874.0,24472.0,,,,,,,,,,,,,,,,,,,,,,EURO,15/01/2019
G-BBY-0070,,, NINGBO ACCU ELECTRIC DEVICES INDUSTRY CO LTD,CHINA,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: CHINA,Loading: CHINA,Discharge: Tianjin- China,31739,Thirty One Thousand Seven Hundred Thirty Nine Euros only,316 Grade Stainless Steel Round Bar,8.0,TONS,3967.375,31739.0,,,,,,,,,,,,,,,,,,,,,,EURO,12/1/2019
G-BBY-0081,,, NINGBO ACCU ELECTRIC DEVICES INDUSTRY CO LTD,CHINA,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: CHINA,Loading: CHINA,Discharge: Tianjin- China,43190,Forty Three Thousand One Hundred Ninety Euros only,Heat Insulation Tube Building Material Pipe Glasswool,143.0,SETS,302.02797202797206,43190.0,,,,,,,,,,,,,,,,,,,,,,EURO,14/01/2019
G-BBY-0051, NOVATEK GENERAL TRADING LLC ,"DUBAI, UAE",Refarmed Chemicals Switzerland,Lugano- Switzerland,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin:  Switzerland,Loading: Lugano- Switzerland,Discharge: Tianjin- China,28000,Twenty Eight Thousand Euros only,Door Professional Manufacturer Durable and Full of Option,140.0,PCS,224.7191011235955,28000.0,,,,,,,,,,,,,,,,,,,,,,EURO,8/1/2019
G-BBY-0045,,, PAREX WARENHANDELSGESELLSCHAFT MBH,AUSTRIA,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: AUSTRIA,Loading: AUSTRIA,Discharge: Tianjin- China,36996,Thirty Six Thousand Nine Hundred Ninety Six Euros only,Powder Coating Aluminium Extrusion Profiles Sliding Window,12.0,TONS,3083.0,36996.0,,,,,,,,,,,,,,,,,,,,,,EURO,6/1/2019
G-BBY-0021, PHOENIX TYRES TRADING F.Z.E  ,"DUBAI, UAE",Refarmed Chemicals Switzerland,Lugano- Switzerland,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin:  Switzerland,Loading: Lugano- Switzerland,Discharge: Tianjin- China,340710,Three Hundred Forty Thousand Seven Hundred Ten Dirhams only,100X100mm Carbon Steel Square Tube,524.0,TONS,650.2099236641221,340710.0,,,,,,,,,,,,,,,,,,,,,,AED,21/01/2019
G-BBY-0112,,, SAURER TECHNOLOGIES GMBH & CO. KG  ,GERMANY,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: GERMANY,Loading: GERMANY,Discharge: Tianjin- China,2799,Two Thousand Seven Hundred Ninety Nine Euros only,Facadeآ Buildingآ Decorativeآ Materialآ ACP/Mcp/A2 Fr Aluminum Composite Panel,79.0,SQUARE METERS,35.43037974683544,2799.0,,,,,,,,,,,,,,,,,,,,,,EURO,24/01/2019
G-BBY-0097,,, SH CHEMICAL GROUP LIMITED,CHINA,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: CHINA,Loading: CHINA,Discharge: Tianjin- China,34345,Thirty Four Thousand Three Hundred Forty Five Euros only,White Color Artificial Building Materials Quartz Stone Decoration for Countertop,381.0,SQUARE METERS,90.14435695538057,34345.0,,,,,,,,,,,,,,,,,,,,,,EURO,21/01/2019
G-BBY-0029,,, SHENZHEN CHENSU INTERNATIONAL TRADE CO. LTD,CHINA,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: CHINA,Loading: CHINA,Discharge: Tianjin- China,63860,Sixty Three Thousand Eight Hundred Sixty Euros only,0.125-3.0mm Building Material Gi Galvanized Steel Coil,106.0,TONS,602.4528301886793,63860.0,,,,,,,,,,,,,,,,,,,,,,EURO,5/1/2019
G-BBY-0017, SYED NAEEM GENERAL TRADING CO LLC   ,"DUBAI, UAE",Refarmed Chemicals Switzerland,Lugano- Switzerland,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin:  Switzerland,Loading: Lugano- Switzerland,Discharge: Tianjin- China,375966,Three Hundred Seventy Five Thousand Nine Hundred Sixty Six Dirhams only,FRP/GRP Gratings  Fiberglass Gratings  FRP Molded Gratings  Transparent Grating,3836.0,SQUARE METERS,98.00990615224192,375966.0,,,,,,,,,,,,,,,,,,,,,,AED,21/01/2019
G-BBY-0018, SYED NAEEM GENERAL TRADING CO LLC   ,"DUBAI, UAE",Refarmed Chemicals Switzerland,Lugano- Switzerland,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin:  Switzerland,Loading: Lugano- Switzerland,Discharge: Tianjin- China,375966,Three Hundred Seventy Five Thousand Nine Hundred Sixty Six Dirhams only,Deformed Steel Bar HRB335 HRB400 HRB500 Steel Rebar Rod Reinforcement Bar,626.0,TONS,600.5846645367412,375966.0,,,,,,,,,,,,,,,,,,,,,,AED,21/01/2019
G-BBY-0040,,, WEIHUI TRADING CO LIMITED  ,CHINA,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: CHINA,Loading: CHINA,Discharge: Tianjin- China,51760,Fifty One Thousand Seven Hundred Sixty Euros only,Rucobondآ Buildingآ Materialآ PVDF PE Aluminum Composite Panel (RUCO15-4),3834.0,SQUARE METERS,13.500260824204487,51760.0,,,,,,,,,,,,,,,,,,,,,,EURO,6/1/2019
G-BBY-0123,,, YILI (HONG KONG) TECHNOLOGY CORPORATION LTD,"HONGKONG, CHINA",Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,"Origin: HONGKONG, CHINA","Loading: HONGKONG, CHINA",Discharge: Tianjin- China,30000,Thirty Thousand Euros only,Black/Brown Film Faced Plywood WBP Glue,90.0,CBS,333.3333333333333,30000.0,,,,,,,,,,,,,,,,,,,,,,EURO,26/01/2019
G-BBY-0093,,,ABP ELECTRONICS LIMITED  ,CHINA,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: CHINA,Loading: CHINA,Discharge: Tianjin- China,13112,Thirteen Thousand One Hundred Twelve Euros only,Fully Automatic Reinforced Lintel Machine,1.0,SETS,13112.0,13112.0,,,,,,,,,,,,,,,,,,,,,,EURO,21/01/2019
G-BBY-0031,,,ADRIATICA SPA              ,ITALY,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: ITALY,Loading: ITALY,Discharge: Tianjin- China,60630,Sixty Thousand Six Hundred Thirty Euros only,Acoustic Decorative Ceiling Tiles,1212.0,SQUARE METERS,50.024752475247524,60630.0,,,,,,,,,,,,,,,,,,,,,,EURO,5/1/2019
G-BBY-0084,,,AHYAN JUTE MILLS LIMITED           ,BANGALADESH,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: BANGALADESH,Loading: BANGALADESH,Discharge: Tianjin- China,13000,Thirteen Thousand Euros only,600X600mm Rough Surface Porcelain Beige Color 2cm Thick Tile,668.0,SQUARE METERS,19.461077844311376,13000.0,,,,,,,,,,,,,,,,,,,,,,EURO,15/01/2019
G-BBY-0096,,,AISPEED INDUSTRY LIMITED ,CHINA,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: CHINA,Loading: CHINA,Discharge: Tianjin- China,12019,Twelve Thousand Nineteen Euros only,2017آ Buildingآ Materialآ Rapid Rolling High Speed Roller Shutter Doors (Hz-FC061),10.0,PCS,1201.9,12019.0,,,,,,,,,,,,,,,,,,,,,,EURO,21/01/2019
G-BBY-0030,,,AKIJ JUTE MILLS LTD,BANGALADESH,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: BANGALADESH,Loading: BANGALADESH,Discharge: Tianjin- China,29820,Twenty Nine Thousand Eight Hundred Twenty Euros only,Preformated Aluminum Honeycomb Panel,994.0,SQUARE METERS,33.70786516853933,29820.0,,,,,,,,,,,,,,,,,,,,,,EURO,5/1/2019
G-BBY-0060,,,ANOTEC GMBH,GERMANY,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: GERMANY,Loading: GERMANY,Discharge: Tianjin- China,37897,Thirty Seven Thousand Eight Hundred Ninety Seven Euros only,Ringlock Scaffold Transom HDG Galvanizing,1894.0,PCS,20.00897571277719,37897.0,,,,,,,,,,,,,,,,,,,,,,EURO,8/1/2019
G-BBY-0005,,,ANVERALLY & SONS PVT LTD  ,SRILANKA,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: SRILANKA,Loading: SRILANKA,Discharge: Tianjin- China,1149512,One Million One Hundred Forty Nine Thousand Five Hundred Twelve Dirhams only,Hot Dipped Corrugated Metal Roofing Roof Galvalume Galvanized Prepainted Color Coated PPGI,769.0,TONS,272.47956403269757,209536.78474114442,Corrugated Galvanized Steel Sheet Roofing Sheet,1174,TONS,800.660319641274,939975.2152588556,,,,,,,,,,,,,,,,,AED,6/1/2019
G-BBY-0033,,,ARGOS IMPORT & EXPORT CO LTD   ,CHINA,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: CHINA,Loading: CHINA,Discharge: Tianjin- China,95551,Ninety Five Thousand Five Hundred Fifty One Euros only,PVDF Aluminum Wall Panel for Facade/ Cladding/ Roofing/ Decorative,2730.0,SQUARE METERS,35.0003663003663,95551.0,,,,,,,,,,,,,,,,,,,,,,EURO,5/1/2019
G-BBY-0034,,,ARGOS IMPORT & EXPORT CO LTD   ,CHINA,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: CHINA,Loading: CHINA,Discharge: Tianjin- China,76440,Seventy Six Thousand Four Hundred Forty Euros only,Popular Floor Deck Building Material Tile Making Machinery,2.0,SETS,38220.0,76440.0,,,,,,,,,,,,,,,,,,,,,,EURO,5/1/2019
G-BBY-0127,,,ARKO ENTERPRISE,"MUMBAI, INDIA",Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,"Origin: MUMBAI, INDIA","Loading: MUMBAI, INDIA",Discharge: Tianjin- China,28098,Twenty Eight Thousand Ninety Eight Euros only,Quartz Stone Solid Surface,234.0,SQUARE METERS,120.07692307692308,28098.0,,,,,,,,,,,,,,,,,,,,,,EURO,26/01/2019
G-BBY-0027,ARMACO GENERAL TRADING LLC,"DUBAI, UAE",Refarmed Chemicals Switzerland,Lugano- Switzerland,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin:  Switzerland,Loading: Lugano- Switzerland,Discharge: Tianjin- China,474407,Four Hundred Seventy Four Thousand Four Hundred Seven Dirhams only,12mm Building Material Big Slab Marble Like Veining Pattern Acrylic Artificial Stone Solid Surface,3677.0,PCS,129.02012510198531,474407.0,,,,,,,,,,,,,,,,,,,,,,AED,31/01/2019
G-BBY-0066,,,AVIN ELECTRONIC TECHNOLOGY CO.LTD ,"HONGKONG, CHINA",Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,"Origin: HONGKONG, CHINA","Loading: HONGKONG, CHINA",Discharge: Tianjin- China,9250,Nine Thousand Two Hundred Fifty Euros only,Fireproof Insulation Rock Wool Sandwich Panel,660.0,SQUARE METERS,14.015151515151516,9250.0,,,,,,,,,,,,,,,,,,,,,,EURO,12/1/2019
G-BBY-0094,,,BENTLEY INNOMED GMBH ,GERMANY,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: GERMANY,Loading: GERMANY,Discharge: Tianjin- China,72028,Seventy Two Thousand Twenty Eight Euros only,Aluminum Awing Windows with Timber Reveal Install,720.0,SQUARE METERS,100.03888888888889,72028.0,,,,,,,,,,,,,,,,,,,,,,EURO,21/01/2019
G-BBY-0013,BEYZADE GENERAL TRADING,DUBAI- UNITED ARAB EMIRATES,SHANGHAI SEVEN BENEVOLENCE INTERNATIONAL TRADE CO. LTD.,,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: nan,Loading: nan,Discharge: Tianjin- China,1785241,One Million Seven Hundred Eighty Five Thousand Two Hundred Forty One Dirhams only,PVDF Coating Aluminium Curtain Wall,509.0,TONS,817.4386920980927,416076.2942779292,Wood Grain Aluminium Profile(BA-010),396,TONS,3457.48663061129,1369164.7057220708,,,,,,,,,,,,,,,,2.6,AED,19/01/2019
G-BBY-0014,BEYZADE GENERAL TRADING,DUBAI- UNITED ARAB EMIRATES,SHANGHAI SEVEN BENEVOLENCE INTERNATIONAL TRADE CO. LTD.,,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: nan,Loading: nan,Discharge: Tianjin- China,1563018,One Million Five Hundred Sixty Three Thousand Eighteen Dirhams only,Sc200/200 Construction Lift/Construction Material Lift/Passenger Hoist for Building,20.0,PCS,6811.989100817439,136239.7820163488,Facadeآ Buildingآ Decorativeآ Materialآ ACP/Mcp/A2 Fr Aluminum Composite Panel,40765,SQUARE METERS,35.000078939866334,1426778.2179836512,,,,,,,,,,,,,,,,2.6,AED,19/01/2019
G-BBY-0015,BEYZADE GENERAL TRADING,DUBAI- UNITED ARAB EMIRATES,SHANGHAI SEVEN BENEVOLENCE INTERNATIONAL TRADE CO. LTD.,,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: nan,Loading: nan,Discharge: Tianjin- China,1651741,One Million Six Hundred Fifty One Thousand Seven Hundred Forty One Dirhams only,Wrought Iron Doors Entrance Doors Design,268.0,SETS,762.9427792915532,204468.66485013624,Roof Tile Galvanized Corrugated Roof Sheets,1702,TONS,850.336272120954,1447272.3351498637,,,,,,,,,,,,,,,,2.6,AED,19/01/2019
G-BBY-0119,,,BIOCHEMICAL SYSTEMS INTERNATIONAL S.P.A,ITALY,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: ITALY,Loading: ITALY,Discharge: Tianjin- China,27800,Twenty Seven Thousand Eight Hundred Euros only,Remote Controlآ Buildingآ Materialآ Security Fast Speed PVC Folding Aluminium Door (Hz-FC05623),23.0,PCS,1208.695652173913,27800.0,,,,,,,,,,,,,,,,,,,,,,EURO,26/01/2019
G-BBY-0142,,,CASH WITHDRAWAL                                   ,nan,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: nan,Loading: nan,Discharge: Tianjin- China,165972,One Hundred Sixty Five Thousand Nine Hundred Seventy Two Dirhams only,Waterproof Decorative Wood Plastic Composite Wall Panel (W2-P2),8298.0,SQUARE METERS,20.001446131597977,165972.0,,,,,,,,,,,,,,,,,,,,,,AED,9/1/2019
G-BBY-0109,,,CHEN WELL (HONG KONG) LIMITED   ,"HONGKONG, CHINA",Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,"Origin: HONGKONG, CHINA","Loading: HONGKONG, CHINA",Discharge: Tianjin- China,12411,Twelve Thousand Four Hundred Eleven Euros only,Aluminium Extrusionآ Buildingآ Materialآ Horizontal Sliding Windows,177.0,SQUARE METERS,70.11864406779661,12411.0,,,,,,,,,,,,,,,,,,,,,,EURO,24/01/2019
G-BBY-0041,,,CHIANGRAI FROZEN FOODS CO.-LTD  ,THAILAND,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: THAILAND,Loading: THAILAND,Discharge: Tianjin- China,70000,Seventy Thousand Euros only,Ringlock Scaffold Sidebracket O-Type HDG,2333.0,PCS,30.00428632661809,70000.0,,,,,,,,,,,,,,,,,,,,,,EURO,6/1/2019
G-BBY-0049,,,CHIANGRAI FROZEN FOODS CO.-LTD  ,THAILAND,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: THAILAND,Loading: THAILAND,Discharge: Tianjin- China,70000,Seventy Thousand Euros only,White Powder Coatingآ Buildingآ Materialآ OEM 6063 T5 Extruted Aluminium Profile,26.0,TONS,2692.3076923076924,70000.0,,,,,,,,,,,,,,,,,,,,,,EURO,7/1/2019
